epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.6539080250830878,1.1141473410526912,0.6452380952380953,0.5833333333333334,0.6890380313199105,0.5852842809364549,0.5687903970452447,0.9943181818181818,0.6231664137582196,0.7368421052631579
2,0.5983016015234448,0.5147569262981415,0.6828571428571428,0.7433333333333333,0.7160621761658031,0.8074534161490683,0.6380424746075716,0.7386363636363636,0.6748046875,0.771513353115727
3,0.5890224023092361,0.6195780517657598,0.689047619047619,0.7566666666666667,0.7244258872651357,0.8705035971223022,0.6408125577100646,0.6875,0.6800587947084762,0.7682539682539683
4,0.5805624486718859,0.4951050106684367,0.6995238095238095,0.7433333333333333,0.726,0.9090909090909091,0.6703601108033241,0.625,0.6970715314450312,0.7407407407407407
5,0.5777433275041126,0.5098120311896006,0.6980952380952381,0.7633333333333333,0.7416576964477933,0.8301886792452831,0.6361957525392429,0.75,0.6848906560636183,0.7880597014925373
6,0.5612507038457053,0.527837395866712,0.7128571428571429,0.7433333333333333,0.7531645569620253,0.776536312849162,0.6592797783933518,0.7897727272727273,0.7031019202363368,0.7830985915492957
7,0.5512452334449405,0.5558736103773118,0.7214285714285714,0.74,0.7671673819742489,0.7333333333333333,0.6602031394275162,0.875,0.7096774193548387,0.7979274611398963
8,0.5565775980835869,0.898616629242897,0.7309523809523809,0.6,0.7749469214437368,0.596551724137931,0.6740535549399815,0.9829545454545454,0.7209876543209877,0.7424892703862661
9,0.543900084949675,0.5423000860214233,0.7247619047619047,0.7833333333333333,0.7627471383975026,0.9236641221374046,0.6768236380424746,0.6875,0.7172211350293543,0.7882736156351792
10,0.539506503655797,0.467720601161321,0.7338095238095238,0.7833333333333333,0.7695473251028807,0.9051094890510949,0.6906740535549399,0.7045454545454546,0.7279805352798053,0.792332268370607
11,0.5266349367300669,0.5605390743414561,0.7376190476190476,0.7533333333333333,0.7805907172995781,0.9180327868852459,0.6832871652816251,0.6363636363636364,0.7287050713934022,0.7516778523489933
12,0.5327368394533794,0.4976388398806254,0.7385714285714285,0.7833333333333333,0.7752577319587629,0.8992805755395683,0.6943674976915974,0.7102272727272727,0.7325864588407209,0.7936507936507936
13,0.5226196346680323,0.5531346929073334,0.7347619047619047,0.7466666666666667,0.7711340206185567,0.9032258064516129,0.6906740535549399,0.6363636363636364,0.7286897223575256,0.7466666666666667
